week,latitude,longitude,solarRadiation,temperatureMax,temperatureMin,rainfall,windspeed,relativeHumidity
1,"08.1099","77.4473","17.01","21.60","28.76","0.03","13.69","78.09"
2,"08.1099","77.4473","23.76","20.41","28.40","1.20","18.51","83.43"
3,"08.1099","77.4473","23.96","22.07","29.43","0.60","9.97","80.23"
4,"08.1099","77.4473","24.59","21.06","29.16","0.33","11.34","79.79"
5,"08.1099","77.4473","22.90","20.50","29.21","0.04","16.61","76.83"
6,"08.1099","77.4473","23.30","22.57","30.06","1.04","16.13","81.40"
7,"08.1099","77.4473","26.14","21.03","29.91","0.43","13.09","78.37"
8,"08.1099","77.4473","26.54","21.49","30.27","0.20","11.49","76.63"
9,"08.1099","77.4473","26.66","21.74","31.20","0.19","11.03","76.96"
10,"08.1099","77.4473","25.34","23.51","31.31","0.03","13.57","76.87"
11,"08.1099","77.4473","26.64","23.54","31.27","0.34","14.14","79.23"
12,"08.1099","77.4473","26.69","23.20","29.66","3.30","11.70","87.50"
13,"08.1099","77.4473","27.19","23.91","31.07","3.44","11.50","83.30"
14,"08.1099","77.4473","22.23","24.57","30.80","1.39","13.67","85.00"
15,"08.1099","77.4473","21.67","24.99","30.71","17.16","12.43","86.41"
16,"08.1099","77.4473","27.46","25.36","31.11","0.57","14.30","86.11"
17,"08.1099","77.4473","26.63","24.21","29.81","6.86","12.94","89.13"
18,"08.1099","77.4473","24.83","24.54","29.30","5.04","10.39","89.86"
19,"08.1099","77.4473","23.16","25.19","30.41","6.77","12.53","88.33"
20,"08.1099","77.4473","22.33","25.91","31.50","0.09","14.49","82.89"
21,"08.1099","77.4473","25.79","25.51","31.16","0.64","13.76","84.03"
22,"08.1099","77.4473","21.29","25.89","29.91","12.00","17.07","87.83"
23,"08.1099","77.4473","20.01","25.17","28.60","20.99","17.20","89.99"
24,"08.1099","77.4473","17.44","25.04","27.71","40.90","33.10","91.29"
25,"08.1099","77.4473","16.60","25.09","28.30","14.89","15.70","89.81"
26,"08.1099","77.4473","23.03","24.66","29.16","2.16","20.89","88.23"
27,"08.1099","77.4473","19.30","24.64","28.71","5.84","21.91","89.50"
28,"08.1099","77.4473","22.93","24.64","28.73","11.57","28.91","89.97"
29,"08.1099","77.4473","20.37","24.54","29.91","0.90","14.81","85.43"
30,"08.1099","77.4473","18.43","24.76","29.47","5.80","19.97","86.60"
31,"08.1099","77.4473","17.17","24.63","28.19","11.29","15.99","90.06"
32,"08.1099","77.4473","20.24","24.90","28.44","17.11","27.99","90.27"
33,"08.1099","77.4473","22.59","24.50","28.39","7.74","24.03","90.90"
34,"08.1099","77.4473","23.60","24.29","29.31","13.16","18.33","88.39"
35,"08.1099","77.4473","19.77","24.19","29.09","2.24","19.70","88.17"
36,"08.1099","77.4473","14.30","24.31","27.97","6.13","10.37","90.34"
37,"08.1099","77.4473","19.90","23.91","28.60","5.00","17.81","89.29"
38,"08.1099","77.4473","20.89","24.77","28.33","35.07","13.97","91.31"
39,"08.1099","77.4473","20.36","24.21","28.67","3.16","18.50","88.69"
40,"08.1099","77.4473","21.01","24.09","28.99","2.29","10.94","87.46"
41,"08.1099","77.4473","22.53","23.49","29.07","2.43","8.11","88.56"
42,"08.1099","77.4473","22.69","23.63","29.26","2.50","11.13","88.69"
43,"08.1099","77.4473","17.51","23.69","28.03","14.53","13.00","92.56"
44,"08.1099","77.4473","21.21","23.46","28.86","8.21","13.36","88.84"
45,"08.1099","77.4473","22.44","23.60","28.64","4.90","14.46","90.33"
46,"08.1099","77.4473","20.33","22.99","29.33","9.96","16.86","86.17"
47,"08.1099","77.4473","20.60","21.04","28.33","8.66","13.57","88.21"
48,"08.1099","77.4473","19.67","22.46","29.31","9.46","16.71","84.54"
49,"08.1099","77.4473","21.01","21.47","29.43","3.13","13.06","81.24"
50,"08.1099","77.4473","22.04","21.89","28.69","1.49","16.47","81.84"
51,"08.1099","77.4473","21.40","23.16","29.36","0.60","12.13","81.74"
52,"08.1099","77.4473","22.59","21.80","28.81","0.00","15.63","78.09"