month,latitude,longitude,solarRadiation,temperatureMax,temperatureMin,rainfall,windspeed,relativeHumidity
"198101","08.1099","77.4473","22.22","21.26","28.92","0.49","14.42","79.90"
"198102","08.1099","77.4473","25.34","21.41","30.07","0.45","12.64","78.41"
"198103","08.1099","77.4473","26.45","23.34","30.92","1.57","12.65","81.02"
"198104","08.1099","77.4473","24.67","24.76","30.59","6.19","13.16","86.76"
"198105","08.1099","77.4473","23.58","25.44","30.63","4.08","13.70","86.18"
"198106","08.1099","77.4473","19.36","25.05","28.49","19.80","21.18","89.92"
"198107","08.1099","77.4473","19.67","24.65","29.09","5.84","21.47","87.97"
"198108","08.1099","77.4473","21.05","24.50","28.65","11.30","21.30","89.78"
"198109","08.1099","77.4473","19.31","24.30","28.51","11.52","15.37","89.63"
"198110","08.1099","77.4473","21.07","23.68","28.80","6.73","11.58","89.54"
"198111","08.1099","77.4473","20.70","22.61","28.91","7.72","14.57","87.28"
"198112","08.1099","77.4473","21.74","22.14","29.09","1.18","14.65","81.07"